% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.374000E+001  0.346663E-002 -0.577463E-003  0.351439E-002
 -0.500000E+001 -0.500000E+001  0.376000E+001  0.350539E-002  0.138314E-002  0.376840E-002
 -0.500000E+001 -0.500000E+001  0.378000E+001  0.152816E-002  0.263249E-002  0.304389E-002
 -0.500000E+001 -0.500000E+001  0.380000E+001 -0.522682E-004  0.310368E-002  0.310412E-002
 -0.500000E+001 -0.500000E+001  0.382000E+001 -0.154704E-002  0.267248E-002  0.308795E-002
 -0.500000E+001 -0.500000E+001  0.384000E+001 -0.254583E-002  0.161776E-002  0.301636E-002
 -0.500000E+001 -0.500000E+001  0.386000E+001 -0.288739E-002  0.319645E-003  0.290503E-002
 -0.500000E+001 -0.500000E+001  0.388000E+001 -0.262156E-002 -0.878848E-003  0.276495E-002
 -0.500000E+001 -0.500000E+001  0.390000E+001 -0.192945E-002 -0.174799E-002  0.260351E-002
 -0.500000E+001 -0.500000E+001  0.392000E+001 -0.103946E-002 -0.219176E-002  0.242575E-002
 -0.500000E+001 -0.500000E+001  0.394000E+001 -0.160827E-003 -0.222957E-002  0.223536E-002
 -0.500000E+001 -0.500000E+001  0.396000E+001  0.437916E-003 -0.151930E-002  0.158115E-002
 -0.500000E+001 -0.500000E+001  0.398000E+001  0.847531E-003 -0.109820E-002  0.138721E-002
 -0.500000E+001 -0.500000E+001  0.400000E+001  0.101795E-002 -0.637540E-003  0.120112E-002
 -0.500000E+001 -0.500000E+001  0.402000E+001  0.993412E-003 -0.236426E-003  0.102116E-002
 -0.500000E+001 -0.500000E+001  0.404000E+001  0.845916E-003  0.466509E-004  0.847201E-003
 -0.500000E+001 -0.500000E+001  0.406000E+001  0.183046E-001 -0.435231E-002  0.188149E-001
 -0.500000E+001 -0.500000E+001  0.408000E+001 -0.471362E-002  0.175033E-002  0.502811E-002
 -0.500000E+001 -0.500000E+001  0.410000E+001 -0.244465E-003 -0.367051E-002  0.367864E-002
 -0.500000E+001 -0.500000E+001  0.412000E+001  0.329181E-002 -0.116255E-002  0.349106E-002
 -0.500000E+001 -0.500000E+001  0.414000E+001  0.251358E-002  0.187552E-002  0.313618E-002
 -0.500000E+001 -0.500000E+001  0.416000E+001  0.194637E-003  0.253257E-002  0.254004E-002
 -0.500000E+001 -0.500000E+001  0.418000E+001 -0.129218E-002  0.132588E-002  0.185140E-002
 -0.500000E+001 -0.500000E+001  0.420000E+001 -0.930595E-003 -0.271988E-006  0.930595E-003
 -0.500000E+001 -0.500000E+001  0.422000E+001 -0.167730E-003 -0.112494E-002  0.113737E-002
 -0.500000E+001 -0.500000E+001  0.424000E+001  0.112148E-002 -0.937298E-003  0.146159E-002
 -0.500000E+001 -0.500000E+001  0.426000E+001  0.209255E-002  0.425452E-003  0.213536E-002
 -0.500000E+001 -0.500000E+001  0.428000E+001  0.205186E-002  0.172634E-002  0.268149E-002
 -0.500000E+001 -0.500000E+001  0.430000E+001  0.773542E-003  0.216244E-002  0.229663E-002
 -0.500000E+001 -0.500000E+001  0.432000E+001 -0.962400E-004  0.305066E-002  0.305218E-002
 -0.500000E+001 -0.500000E+001  0.434000E+001 -0.136964E-002  0.288354E-002  0.319229E-002
 -0.500000E+001 -0.500000E+001  0.436000E+001 -0.240292E-002  0.220743E-002  0.326294E-002
 -0.500000E+001 -0.500000E+001  0.438000E+001 -0.302066E-002  0.120492E-002  0.325211E-002
 -0.500000E+001 -0.500000E+001  0.440000E+001 -0.316614E-002  0.106612E-003  0.316794E-002
 -0.500000E+001 -0.500000E+001  0.442000E+001 -0.289057E-002 -0.882596E-003  0.302231E-002
 -0.500000E+001 -0.500000E+001  0.444000E+001 -0.231696E-002 -0.162405E-002  0.282946E-002
 -0.500000E+001 -0.500000E+001  0.446000E+001 -0.159414E-002 -0.205547E-002  0.260120E-002
 -0.500000E+001 -0.500000E+001  0.448000E+001 -0.659955E-003 -0.247527E-002  0.256173E-002
 -0.500000E+001 -0.500000E+001  0.450000E+001  0.917332E-005 -0.233050E-002  0.233052E-002
 -0.500000E+001 -0.500000E+001  0.452000E+001  0.173618E-002 -0.917654E-002  0.933933E-002
 -0.500000E+001 -0.500000E+001  0.454000E+001  0.371938E-002  0.155922E-002  0.403298E-002
 -0.500000E+001 -0.500000E+001  0.456000E+001 -0.149258E-002  0.961035E-003  0.177521E-002
 -0.500000E+001 -0.500000E+001  0.458000E+001 -0.137037E-002 -0.245184E-002  0.280881E-002
 -0.500000E+001 -0.500000E+001  0.460000E+001  0.125427E-002 -0.322220E-002  0.345772E-002
 -0.500000E+001 -0.500000E+001  0.462000E+001  0.298155E-002 -0.162507E-002  0.339566E-002
 -0.500000E+001 -0.500000E+001  0.464000E+001  0.284294E-002  0.377685E-003  0.286792E-002
 -0.500000E+001 -0.500000E+001  0.466000E+001  0.154068E-002  0.142307E-002  0.209734E-002
 -0.500000E+001 -0.500000E+001  0.468000E+001  0.183812E-003  0.124614E-002  0.125962E-002
 -0.500000E+001 -0.500000E+001  0.470000E+001 -0.481677E-003  0.322779E-003  0.579827E-003
 -0.500000E+001 -0.500000E+001  0.472000E+001 -0.281624E-003 -0.659267E-003  0.716899E-003
