% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.490000E+001 -0.136738E-002  0.172598E-002  0.220198E-002
 -0.500000E+001 -0.500000E+001  0.492000E+001 -0.181475E-002  0.998893E-003  0.207149E-002
 -0.500000E+001 -0.500000E+001  0.494000E+001 -0.196159E-002  0.212930E-003  0.197312E-002
 -0.500000E+001 -0.500000E+001  0.496000E+001  0.215195E-001 -0.525632E-001  0.567977E-001
 -0.500000E+001 -0.500000E+001  0.498000E+001 -0.640366E-002 -0.898485E-003  0.646638E-002
 -0.500000E+001 -0.500000E+001  0.500000E+001  0.447970E-003 -0.471074E-002  0.473199E-002
 -0.500000E+001 -0.500000E+001  0.502000E+001  0.264056E-002 -0.625268E-003  0.271358E-002
 -0.500000E+001 -0.500000E+001  0.504000E+001  0.423867E-003  0.129972E-002  0.136709E-002
 -0.500000E+001 -0.500000E+001  0.506000E+001 -0.134342E-002  0.158310E-003  0.135271E-002
 -0.500000E+001 -0.500000E+001  0.508000E+001 -0.100909E-002 -0.160644E-002  0.189708E-002
 -0.500000E+001 -0.500000E+001  0.510000E+001  0.572871E-003 -0.221803E-002  0.229081E-002
 -0.500000E+001 -0.500000E+001  0.512000E+001  0.199741E-002 -0.143821E-002  0.246133E-002
 -0.500000E+001 -0.500000E+001  0.514000E+001  0.244100E-002  0.197474E-004  0.244108E-002
 -0.500000E+001 -0.500000E+001  0.516000E+001  0.187155E-002  0.129074E-002  0.227348E-002
 -0.500000E+001 -0.500000E+001  0.518000E+001  0.761063E-003  0.184911E-002  0.199961E-002
 -0.500000E+001 -0.500000E+001  0.520000E+001 -0.306606E-003  0.162902E-002  0.165762E-002
 -0.500000E+001 -0.500000E+001  0.522000E+001 -0.916735E-003  0.902424E-003  0.128638E-002
 -0.500000E+001 -0.500000E+001  0.524000E+001 -0.933641E-003  0.709328E-004  0.936332E-003
 -0.500000E+001 -0.500000E+001  0.526000E+001 -0.470722E-003 -0.516775E-003  0.699025E-003
 -0.500000E+001 -0.500000E+001  0.528000E+001  0.214283E-003 -0.669712E-003  0.703158E-003
 -0.500000E+001 -0.500000E+001  0.530000E+001  0.837849E-003 -0.376690E-003  0.918633E-003
